DRAGON_4_e2_2799_e7_2499.lus,Invalid,0.70,2.49
DRAGON_4_e2_2799.lus,Valid,2.67,16.35
DRAGON_4_e3_1540_e1_5048.lus,Valid,3.76,23.72
DRAGON_4_e3_4133.lus,Valid,3.54,22.58
DRAGON_4_e7_2329_e3_4574.lus,Invalid,0.68,2.35
DRAGON_4_e7_2329_e7_3856.lus,Invalid,0.72,2.45
DRAGON_4_e7_2329.lus,Invalid,0.69,2.49
DRAGON_4.lus,Valid,3.39,21.28
DRAGON_5_e1_1835.lus,Valid,4.27,28.54
DRAGON_5_e2_3018_e2_936.lus,Valid,3.02,19.31
DRAGON_5_e7_2017_e1_5832.lus,Invalid,0.71,2.50
DRAGON_5_e7_2017_e2_664.lus,Invalid,0.71,2.46
DRAGON_5_e7_2017_e3_1763.lus,Invalid,0.71,2.47
DRAGON_5_e7_2017_e7_2326.lus,Invalid,0.71,2.58
DRAGON_5_e7_2017.lus,Invalid,0.78,2.61
DRAGON_5.lus,Valid,3.12,20.35
DRAGON_6_e7_5046_e7_3623.lus,Valid,1.94,11.65
DRAGON_6.lus,Valid,0.64,2.13
DRAGON_7_e2_2872_e2_5844.lus,Valid,0.63,2.15
DRAGON_7_e2_2872_e3_2640.lus,Valid,0.65,2.27
DRAGON_7_e7_3157_e2_2082.lus,Valid,2.05,12.94
DRAGON_7.lus,Valid,0.68,2.38
DRAGON_8_e2_3896_e3_3125.lus,Valid,3.08,19.10
DRAGON_8_e3_786_e7_4541.lus,Valid,1.94,11.99
DRAGON_8_e3_786.lus,Valid,2.81,18.06
DRAGON_8_e7_3752.lus,Valid,2.22,13.68
DRAGON_8.lus,Valid,2.45,15.79
DRAGON_9_e7_1843_e1_5434.lus,Valid,1.51,8.82
DRAGON_9_e7_1843_e2_1145.lus,Valid,1.45,8.44
DRAGON_9_e7_1843_e3_5316.lus,Valid,1.51,8.96
DRAGON_9_e7_1843_e7_2225.lus,Valid,1.63,9.83
DRAGON_9_e7_1843.lus,Valid,1.58,8.98
DRAGON_9.lus,Valid,0.65,2.10
DRAGON_all2_e2_2073_e8_3691.lus,Invalid,0.71,2.59
DRAGON_all2_e3_4612_e1_6463.lus,Valid,6.94,47.62
DRAGON_all2_e3_4612_e2_5774.lus,Valid,10.41,69.61
DRAGON_all2_e3_4612_e3_1543.lus,Valid,9.98,68.59
DRAGON_all2_e3_4612_e4_3719.lus,Valid,9.48,65.85
DRAGON_all2_e3_4612_e5_3642.lus,Valid,11.67,77.71
DRAGON_all2_e3_4612_e8_5861.lus,Invalid,0.72,2.65
DRAGON_all2_e7_5406_e1_6690.lus,Invalid,0.74,2.57
DRAGON_all2_e7_5406_e2_3084.lus,Invalid,0.75,2.67
DRAGON_all2_e7_5406_e3_506.lus,Invalid,0.69,2.48
DRAGON_all2_e7_5406_e7_6697.lus,Invalid,0.68,2.47
DRAGON_all2_e7_5406.lus,Invalid,0.82,2.72
DRAGON_all2_e8_4626.lus,Invalid,0.74,2.70
